data,category
"PAST EXPEIENCE:
",No_Label
"QART – Quality Assurance and Risk Team plays a key role in fund accounting oversight within the global MSFS
model. It focus on carrying out reviews of NAVs that been completed in several MSFS locations. We provide
valuable inputs in terms of analytical skills, issue identification and resolution thereof with a view of enhancing the
quality of the NAV being produced.
Primary Responsibilities:
1. Monthly Final Accounting Review of NAVs completed in several MSFS locations within a defined time
delivery schedule.
2. Approving the NAV – by reviewing and signing off for Pre-NAV's, Portfolio's, Pricing, Stratum reporting
and Allocations tasks on Workflow.
3. Performing QA review of New Launches of funds or Conversion of fund from other administration in
terms of Valuation policy, Partnership Agreement, Set up on system etc and share the observation with
concerned teams.
4. Reviewing Yearend Financial statements of Hedge funds which include, Statement of Assets and
Liabilities, Statement of Operations, Statement of Changes in Net Assets, Statement of Cash Flow,
Condensed Schedule of Investments, Financial Highlights, Notes to Investments, Investee Roll prepared as
per the US GAAP and IFRS.
5. Participate and leading projects and calls (Price Inconsistency, Valuation Group, Accounting Weekly, KBI,
Month End Catch up etc).
",No_Label
"Company name: DBOI Global Services Pvt Ltd.
Duration: March 2012 to January 2015.
Designation: Team Manager
Job profile:
",Work_Experience
"Company name: Morgan Stanley Fund Services (MSFS).
Duration: February 2015 to November 2017
Designation: Senior Manager
Job profile:
",Work_Experience
"Following are covered in scope of my role:
ME End close, Bank Account Postings
",No_Label
".
",No_Label
"CREDENCE
",No_Label
"HR SERVICES
",No_Label
"Key Financial Disclosures
Account Reconciliation
IUC Clearing
Tax Relationship Management
Management Review Processes
Regional Reporting Pack
Performance/People Management
",No_Label
"Roles:Role can be broadly bifurcated into following 3 major categories:
",No_Label
"Domestic Subs: This process includes preparing Monthly close for 22 subsidiaries unit which include Bank
Postings, Accrual Posting, Profit-Pooling, Upload of Financials into BCS, Preparation of Financial Statements
(Balance Sheet, P&L). Completing all the tax reconciliations & day-to-day control operations.
",No_Label
"HO Reporting: Reporting of Financials (Balance Sheet and P&L) in BCS, Financial data transfer from local
reporting system into Global reporting system, reconciliation between the Local & Global systems. Running
Validation reports & clearing/addressing the responsible persons to clear those errors. Follow up with BAC /
LEC in clearing the identified breaks. Preparing MIS reports to BAC &Manarea owners. It also includes
preparation of various Key Financial Disclosure on Monthly, Quarterly & Yearly forms within the Head Office
governed deadline.
",No_Label
"IUC:Inter unit clearing process includes clearing breaks between different legal entities of Deutsche Bank and
reporting the inter company balances to Head Office for preparing the Financial Statements. Coordinating with
Counterparties across DB for resolution of Internal Breaks.
",No_Label
"Miscellaneous
",No_Label
"Ensure Process check list / controls is followed diligently. Ensure 4 eye principle is carried out across all critical
deliverables and processes
Building and maintaining strong relationships with external parties ""Clients"" and also with internal teams.
Escalations & heads up of all misses in KPIs to AVP - Be Client/ Colleague/ Process/ Systems. Provide timely
update to line manager on the list of issues if any (system , process)
Responsible for the list of various activities that have been assigned or delegated by senior management.
Handling a team of 15 members. Effectively implement rewards/recognition, appraisal , incentive programs,
performing Performance Appraisal's of team member's, One on One Discussions etc.
Ensuring smooth and successful migrations of new process in team.
Ensure timely completion of all projects (Cross Border Resiliency, FR Standardizationetc) meeting deadlines.
",No_Label
"Note: I have not switched from Patni to Sapient and Sapient to Northern Trust. It's due to Merger's and
Acquisition I had to move from one company to another.
(In 2009 I had migrated the process Omnium from Chicago in Patni. In August 2010 Process moved from Patni to
Sapient and Management asked me to join Sapient. Then in August 2011 Omnium got acquired by Northern Trust and
all the staff of Sapient who used to work for Omnium also got acquired by Northern Trust)
",No_Label
"Company name: Northern Trust (Acquired Sapient's KPO project W.e.f Aug’11)
Duration: August 2011 to February 2012.
Designation: Team Leader
",Work_Experience
"Company name: Sapient Corporation Ltd.
Duration: August 2010 to August 2011.
",Work_Experience
"Monthly Close Package:
Job profile:
",No_Label
"1. Reconcile various reports of E Glue Adhoc like Accrual, Cash Activity, Realized, Unrealized, Position and
Financial with E glue Navigator report.
2. Preparing necessary reclass and manual entries like Accrual, Broker Dealer Reclass, OTC-OTE Reclass,
Income Reclass, Inter Company Reclass and Currency Unheld and posting these entries in people soft.
3. Correction of Suspense account.
",No_Label
"4. Preparing various schedules like Operating Expense, Swap Receivable or payable, Repo & Reverse Repo,
Flash Recon, Partners Capital or NAV Statement etc.
CREDENCE
5. Validating the Balance sheet and Income statement as per E glue Navigator application and People soft
application.
6. Preparation of Financial statements like Balance sheet, Income Statement, NAV, Cash flow. Preparation of
Estimate and actual returns on various funds.
7. Valuation of Portfolio Holding for several funds.Post MTD PNL in Feeder funds from Master fund.
8. Request Allocation and Run Consolidation. Update Performance tables and Subsidiary allocation of all
funds as per Allocation schedule.
9. Uploading Financials, Estimate, Performance, Ownership and Investment Capital reports on Counterparty
Website. Calculating Leverage Ratios of several Funds.
10. Miscellaneous: Handling a team of 8 members, Responsible for Quality and final deliverables to Client
with in TAT. Keep records of Monthly KPI of team members. Conducting Training for new Joiner's in our
",No_Label
"process.
",No_Label
"Company name: Patni Computer Systems Ltd.
Duration: January 2008 to July 2010.
Designation: Sr. Executive
",Work_Experience
"Financial Reporting
Job profile:
",No_Label
"Preparation of Financial Statements for Hedge funds which includes, Statement of Assets and Liabilities, Statement
of Operations, Statement of Changes in Net Assets, Statement of Cash Flow, Condensed Schedule of Investments,
Financial Highlights, Notes to Investments, Investee Roll as per the US GAAP and IFRS.Worked on calculation of
5% look through for various Funds. Preparation of word documents of financial statements for audit purpose.
Working on various inputs for the preparation of financial statements as mentioned below:
1. Trial Balance: Cross checking of various line items with the supporting files.
2. Holding Report: Identifying affiliate and non affiliate investors, calculating their market value, cost and
unrealized gain/loss.
3. Profit and Loss report: Cross tallying realized and unrealized gain/loss with Trial Balance and Holding Report
4. MTD/YTD Capital activity: Verifying opening balances with previous year's financials, checking the
management fees and incentive fees with trial balance.
5. Preparation of various workings for Financial Highlights; working on monthly trial balances to find out income
and loss for each month.
6. Calculation of purchase and sale for the purpose of cash flow.
7. Calculation of Income and Expenses flowing from master fund to feeder fund.
8. Reconciliation: Preparing daily cash and position reconciliation of funds, Reconcile cash, holdings report with
custodial reports and investigate discrepancies. Doing aging analysis.
",No_Label
"Company name: RSM McGladrey. FPO -India
Duration: July 2006 to December 2007.
Designation: Accounts Officer
Job profile:
",Work_Experience
"1. Preparing and reviewing Bank Reconciliation of various units.
2. Preparing Payroll, Expenses, management fees Accruals on fortnight basis.
3. Working on Accounts Payable and Accounts Receivable
4. Preparing Daily Deposit Verification of credit cards (AMEX, Visa, and Discover).
5. Preparing Audit Schedules of all ledger accounts.
6. Reviewing Balance sheet, Income Statement and cash flow on monthly basis.
7. Complete Finalization of Accounts of various ledgers.
",No_Label
"CREDENCE
",No_Label
"Company name: Datamatics Technologies Ltd.
Duration: from December 2004 to April 2005.
Designation: Accounts Executive
Job profile:
",Work_Experience
"HR SERVICES
",No_Label
"1. Reviewing & Supervising the Tax Returns for Canadian Individual on Tax Prep System with clarification notes
to CPA. And releasing the Return to Canadian client.
2. Verification of all voucher entries, recorded by CPA Client on Tax Prep system
3. Review Comparative Income Statement on Monthly basis
4. Review Income Statement comparison (Budget vs. Actual) with comments.
",No_Label
"PERSONAL DETAILS
Date of Birth : 11July 1983.
Sex
: Male
Marital Status : Married.
Nationality Indian.
Passport No : G9436977
Visa
: USA (B1/B2) 12/08/2009 to 06/08/2019
Languages Known: English, Hindi and Marathi.
Hobbies
: Listening Soft Music, playing and watching cricket.
",Personal
"ACHIEVEMENTS
",No_Label
"Did the successful transition of clients / projects from USA (Chicago, Charlotte, Jersey, NY).
Did the successful transition of clients from Toronto.
Six Sigma Yellow Belt Training Certificate.
Conducted Pre-deployment training for a team of more than 20 employees when they joined new in the process.
Handled the Cross Border Resiliency Project in DBOI.
Team members under my supervision did the successful migration of several processes in DBOI from
Frankfurt and in CITCO from Toronto and USA via WebEx and Net Meeting.
",No_Label
".
",No_Label
"STRENGTHS
Leadership, Hard working, Responsible, Helping and Friendly attitude.
A team player that learns quickly and communicates well.
Positive approach towards work even under tremendous pressure and meet the deadlines with ease, efficiency
and within Quality parameters.
",No_Label
"Date:
Place:
",No_Label
"Ajay Mishra.
",No_Label
"HARAPRIYA TRIPATHY
",Personal
"Mobile: (91) 9739777023
E-mail – Priya20f@gmail.com
",Personal
"1. A self-motivated professional specializing in Finance, offering ~8 years of rich experience in financial services and
Banking Industry, serving and understanding the needs of the sell-side participants through involvement in
financial planning & analysis, advisory, research and reporting.
2. Worked with S&P Global Market Intelligence, A Mc-Graw Hill Financials undertaking, as a Research Associate,
responsible for financial statement analysis, financial ratio analysis, quality assurance and standardization of
the same.
3. Worked with Ocwen Financial Services Ltd, Bangalore as an Investor Reporting Analyst, responsible for
preparing and disseminating timely and accurate financial reports by maximizing the use of technology;
strengthen internal controls and improve efficiencies by analyzing business processes and providing alternative,
automated solutions.
4. Currently associated with JP Morgan Chase & Co. as a Senior Financial Analyst as a part of Global Finance India
Division, extensively involved in CFO support, planning & analysis, budgeting & forecasting and variance
analysis by providing valuable insights on Financials performance to various stakeholders including Senior
Business Leaders in a timely manner.
5. Confident of adding value in finance and investment management domain, with strong academic background in
Finance - Preparing for level 2 CFA program, USA and graduated in MBA, Finance.
6. Good Knowledge in Essbase, Pitchpro, SAP, BI tools, Advance Excel and MS Office tool.
",Skills
"June 2016 - Present
",Work_Experience
"CAREER CONTOUR
",No_Label
"JP Morgan Chase & Co, Bangalore (GFI – FP&A)
",Work_Experience
"Key Roles & Responsibilities:
Prepare monthly P&L statements and pro forma financial models to assess current and projected financial
performance relative to benchmarks as well as to evaluate the financial impacts of alternate production schedules
Perform detailed analysis of financial key performance indicators (KPI), making predictions and advising the
business partners by ""telling the story"" including commentary on variance for budget owners & management
through Business Decks in a timely manner.
Take the complete ownership in mid-year forecasting and annual budgeting process for CCB Tech India and
Engineering and Architect tower within CCB Tech global by conceptualizing and developing a centralized and
simplified platform, yet efficient process for estimating forecast and budget numbers as per the Technology book of
work thereby reducing the total effort by more than 70%.
Ensure accuracy in month end close activities by preparing and analyzing monthly flash report on expenses
(Both Direct & Indirect cost) and Headcount, performing labor cost analysis, spend approval process and
updating the monthly forecast number as per the efficiency.
* Build business models, automated and streamlined various activities to improve management, control
unnecessary cost and make efficient decisions and also participated in ad-hoc projects to support the business
objectives.
Collaborate with corporate FP&A department to prepare and adjust the division's 3 year Strategic plan
Organize and handled business review meetings/ Calls with Clients/ Business partners in a timely manner
Actively Participate in annual audit process by maintaining the Project Charter for our team, creating UT owners for
our process and updating the SOPs (Training Materials) and ensures the back up within the team by conducting
various Info share session on various processes.
",No_Label
"Sep 2014 – May 2016
",Work_Experience
"Ocwen Financial Solutions Pvt. Ltd
",Work_Experience
"Key Roles & Responsibilities:
Part of the Investor reporting team which involved, preparing and analyzing P&L and cash flow statements of Investor
Portfolios, loan servicing, reporting on the mortgage backed securities, loan modifications, amortizations schedules,
GL reconciliations, variance analysis, working with internal auditors.
Unrestricted
",No_Label
"Provided timely, relevant and accurate reporting & analysis of the results of the portfolio's performance against
historical, budgeted, forecasted and strategic planning results to facilitate decision-making toward the achievement
of the budget and strategic plan.
Prepared reviews, analyzes, and submits a variety of complex and special reports/variance reports, reconciliations,
custodial account reports and delinquency reports to the internal departments, financial institutions, and external
agencies.
Assisted reconciliation team for the balance sheet items and ascertaining reasons for reconciling differences,
including root cause analysis of process defects.
",No_Label
"Jan 2011 - Mar 2014
",Work_Experience
"S&P Global Market Intelligence, Hyderabad (Finance)
",Work_Experience
"Key Roles & Responsibilities:
Financial Statement Analysis: Involved in-depth, accurate and timely research on financial statements to support
fundamental analysis of market participants by providing important inputs necessary for computation of Key
Performance Indicators (KPIs) including metrics like EBITDA, normalized earnings, profit margins etc.
• Prepared and disseminated timely and accurate financial information to allow the business to plan, forecast and
make decisions using controlled and consistent data.
* Specialized in analysis of Balance Sheet and Cash Flow Statement and proficient in the analytical aspects of all
financial statements and the related notes.
* Maintained Internal Quality Control: Part of a team dedicated towards continuous research for evaluating and
suggesting ways of improving Capital IQ deliverables through enhancement of process, timeliness and accuracy of
the core financial research provided by CIQ, including review of in-house data analysis and quality check
effectiveness and its enhancement.
* Calculation and analysis of Deferred tax, EPS and Various Financial ratios and Reporting of the same.
Accurate and timely submission of actual financial statements (P&L, BS and Cash flow statement) on a monthly,
quarterly and year-end basis following US GAAP standards.
Handled data issue, Performed Root Cause Analysis to determine best resolution to existing deficiencies.
* Responsible for on-job training to new employees including evaluation and reporting their performance to the
higher levels of management.
SCHOLASTICS
",No_Label
"Post Graduate Dip ma in Management (PGD in Finance and Tarketing, in 2010 from HDF School of
Management, Bhubaneswar. Secured 81.5% (8.15 CGPA).
B.Com (Accounting Honors) from R.D. Women's College, Bhubaneswar in 2007.
ICOM (Class XII) from R.D. Women's College, Bhubaneswar in 2004.
* BSE (Class X) from Saraswati Vidya Mandir (S.S.V.M), Bhubaneswar in 2002.
",Education
"TECHNICAL ABILITIES
",No_Label
"Understanding of key business drivers & macro-economic indicators by becoming a SME
Good Data Mining and Strong Financial Analysis Skills, Ability to think outside of traditional approaches and evaluate
implication on business
Ability to work under stringent deadlines and balancing demands with high energy level
Challenges the status quo and proactively identifies opportunities for improvement
",Skills
"I hereby declare that the information stated above is true to the best of my knowledge.
Harapriya Tripathy
Bangalore
",No_Label
"Date: 23/08/2019
",No_Label
"Unrestricted
",No_Label
"CREDENCE
",No_Label
"HR SERVICES
",No_Label
"SANCHITA GANGULY
Tel.: (Mobile) 0-9618889950; Email: gsanchita05@gmail.com & gangulsa2k19@gmail.com
",Personal
"M.B.A (Marketing, Finance) from PCMT, Kolkata, 2007.
% Certification in ""Fundamentals of Procurement"" and ""MS Excel for Purchasing Professional” from SPSM
(Senior Professional Supply Management) and Six sigma Yellow belt
",Education
"CAREER SKETCH
* A self motivated professional with creativity, innovation & having a competitive attitude to secure a
challenging position in a recognised firm with 14 Years of experience. Currently serving Standard
Chartered Bank as Manager (Process Improvement and Automation). Supporting Standard
Chartered Bank finance units in preparing monthly/quarterly/annual cost packs,
dashboards, MIS along with business specific commentaries
ACADEMIC CREDENTIALS
",No_Label
"PROFICIENCY FORTE
Client Servicing
Ensuring high quality services, resulting in customer delight and optimum resource utilization.
Delivering high-value services to upscale clients for exalting their satisfaction levels.
",No_Label
":
",No_Label
"Present Status
Name of Organisation
Period
Designation
",No_Label
":
",No_Label
"Standard Chartered Bank (GFS)
11th July 16 till date
Sr. Manager - Expense Reporting
",Work_Experience
":
",No_Label
"Previous Organization
Name of Organisation
Period
Designation
",No_Label
"Cognizant Technology Solutions
14th March 11 till 4th April 2016
Sr. Analyst (TL) - SDM Operation management
",Work_Experience
"Previous Organization
",No_Label
":
",No_Label
"Name of Organisation
Period
Designation
",No_Label
":
",No_Label
"Bharti AXA General Insurance Co Ltd
16th April 10 till 9th March 2011
Sales Manage - Agency (Dealer Management)
",Work_Experience
"Previous Organization
",No_Label
":
",No_Label
"Naukri.com (Info edge India Ltd)
28th May'07 to 9th March 2010
Asst. Manager - Corporate Sales (Key Accounts)
",Work_Experience
"Name of Organisation
Period
Designation
",No_Label
"CAREER HIGHLIGHTS
",No_Label
"Since July'16 till date Standard Chartered Bank (GFS) Chennai as Manager -
Expense Reporting
",No_Label
".
",No_Label
".
",No_Label
"Generate Reports (xl / SQL based) as per the stakeholders requirements
Analyze and publish insights based on the cost lines (Incurred and allocation) sourced from
Hyperion (HP & HPCM) aiding decision making
Work on any adhoc requests as per the stakeholders requirements
Planning, Studying, and collecting data to determine costs of business activity such as staff cost,
bonus, plant & equipment, travel and entertainment, GST/TAX/VAT, Marketing expenses,
recharges and headcount
Actively involved in planning/budgeting activities for Standard Chartered bank.
Ability to understand and work closely with higher management and different departments /
heads to collate data and publish reports and insights on the same
Support stakeholders to develop budget for direct and indirect cost of company
Help bank control expenses through financial research and analysis
Instrumental in writing business commentaries for Global support functions such as HR, Internal
Audit, Risk, Property, Legal, Finance, Corporate Brand and Marketing and Compliance
Ability to conceptualize and build visually appealing management dashboards using Tableau
Software
Have experience with performance tuning specific to Tableau
Support BAU process and involve in data research/analysis activities
Create presentation material to support stakeholder and regulators
Also involve in robotics initiatives wherein I study process, identify the gap and suggest either
automation/standardization using robotics or macro/MS access.
Do the feasibility check of the processes before passing on to developers for creating robots
High caliber team player, self-starter and ability to work independently
Strong ability to network and establish contacts throughout the organization
",No_Label
".
",No_Label
".
",No_Label
".
",No_Label
".
",No_Label
"Team Management
",No_Label
".
",No_Label
".
",No_Label
".
",No_Label
"Managing a team of 2 in terms of reviewing of dashboards, knowledge transfer, job assignment
and escalations
Manage the training and capability needs of the team map technical and behavioural skill sets
and identify training needs, nominate team members for relevant training programs
Provide leadership and direction for allocated staff on specific projects and coaching support to
offshore team and onshore team where appropriate
Conduct monthly one-on-one meetings, provide feedback to the team members, assess attrition
risks
Attend performance reviews, performance ratings and pay and performance decisions and lead
local and wider onshore/offshore analysis meetings
Take responsibility for team engagement - including nominating team members for recognition
awards, conducting team outings etc.
Assisting line manager in making decisions on various aspects
Acting as a back up to other team members and line manager as required
Setting expectations to ensure alignment of desired output with available resources.
Achievements
Best performer award for Q1 2018 and Q1 2016
Successfully implemented governance tracker tool
I have managed to scale up the cost reporting team to a respectable number
",No_Label
".
",No_Label
".
",No_Label
".
",No_Label
"Since March'11 till 4th April 2016 Cognizant Technology Solution as Senior
Analyst Hyderabad
",No_Label
".
",No_Label
"Serving one of the multinational bank's Procurement team
",No_Label
".
",No_Label
"Managing and mentoring a team of 5 people
",No_Label
".
",No_Label
"Handling UBS's internal electronic procurement system totally configured in SAP SRM platform.
",No_Label
".
",No_Label
"Maintain IT, Non IT and Blackberry Approval Matrix which act as background approval workflow
for Electronic Ordering System.
",No_Label
".
",No_Label
"Changing of purchase requisition (PR)approval flow in the Matrix as per business request
",No_Label
"Resolving failed PRs for UBS bank.
",No_Label
"Branding of in house procurement tool's among employee of UBS
",No_Label
"Uploading of updated Matrix in SAP SRM
",No_Label
"Preparing monthly dashboard for client
",No_Label
"Team Size
",No_Label
": 10
",No_Label
"Proven skills in leading the operational & technical staff for setting-up the
program from ground up and successfully implementing world class Workforce
Management solutions like Aspect e-WFM, IEX, Prohance & Verint Impact 360
Accurate & precise in all work-related assignments with proficiency in developing
a high performing organization through Operational Efficiency, Developing
Centre of Excellence, Innovation & Thought Leadership to give a competitive
advantage to the business
",No_Label
"Subject Matter Expertise:
Workforce Management
Strategy Planning
Operations Management
Global Service Delivery
New Initiatives / Set-ups
RFP/RFI
Process Improvement
Quality Assurance
Risk Management
Budgeting/ Cost Savings Client
Relationship Management
Resource Optimization
MIS Reporting/ Analytics
Team Leadership
Operational Skills: Project
Planning & Execution Vendor
Management Forecasting
SLAs & TAT Adherence
Regulatory Affairs
Employee Engagement
Talent Management
(Recruitment, Training, Retention
& Rotation Planning)
",No_Label
"An Effective Leader with proven competencies in managing teams to work in sync with the corporate set parameters;
comfortable working in a multi-cultural global work environment
NOTABLE ACCOMPLISHMENTS ACROSS THE CAREER
Rendering leadership & guidance to Business Partners in refining business strategy & process improvements;
undertook various initiatives to streamline functions & reduce overall costs while ensuring optimum resource
utilization
Successfully set-up the Workforce Optimization command center for the client at Firstsource in 2012; a centralized
unit of 15 skilled professional supporting its complex business operations across 3 contact centers on real time
management, proactive planning/scheduling and offered administrative functionality support
Directed various special projects on Revenue Enhancement, COE On-Scheduling & Forecasting
",No_Label
"O
",No_Label
"O
",No_Label
"Successfully set-up the WFM Centre of Excellence (COE) from ground-up at Firstsource in 2014; a centralized unit of
30 skilled professionals supporting all FSL centres across the globe with accurate forecasts, schedules and short term
capacity plans
Directed operations' performance and managed competing priorities & projects across the career while ensuring
adherence to SLAs, recognised for introducing Automation & Software Tools and revamping the Training Systems by
taking path-breaking initiatives like:
Serving as the Lead Faculty at Workforce Management Academy - The In-House Talent Development & Learning
Centre for WEM Team at Firstsource
Effectively imparting trainings to Operations & WEM Professionals on various modules of WFM under the
Academy Framework
Effectively led large teams of 120+ spread across the Globe in multiple shifts/ multi-site / multi-service programs to
achieve seamless service delivery; mentored & built a world class Workforce Management Team capable of
handling complex operations
Delivered operational excellence by managing Service Levels, achieved significant reduction in abandoned calls and
brought improvement in productivity & client satisfaction
Assisted the CEO in the development of financial models to evaluate , optimize and predict profitability
Prepared pricing quotes and/or internal proposals regarding pricing strategies for future campaigns/segments
Developed and Implemented end to end control methodology on revenue assurance related activities like billing ,
invoicing , reconciliation , cash collections for the organisation
Consistently Promoted to senior positions on account of excellent performance and recognised with Awards
& Appreciations like:
Certificate of Appreciation by the COO of Firstsource for outstanding contribution towards being the change
(May'15)
Testimony from Optus on achieving a record internal customer NPS score of +70.5% against a starting score of
-32% post command center set up at Firstsource (Nov'13)
Rewarded “Extra Miler Award” for high level of commitment at work (May'10)
Best Team Awards in 2006 at Firstsource
Firstsource Shining STAR Award in WFM function (Jan'05)
Received Appreciation letter from Lloyds TSB Client for outstanding performance and contribution ( Jan'05)
Awarded “BEST OPS SUPPORT MEMBER” through opinion poll (Jan'04)
",No_Label
"O
",No_Label
"O
",No_Label
"o
",No_Label
"Ο Ο Ο Ο
",No_Label
"WORK EXPERIENCE
",No_Label
"Since Jul’18: Sutherland Global Services, Mumbai as Director Workforce Management
(http://www.sutherlandglobal.com)
",Work_Experience
"As Director - Workforce Management Forecasting/Service Offering &Consulting
",No_Label
"Head the Forecasting Workforce Management Function and Service Offering & Consulting for the organization
globally and support the business verticals like Travel, BFMIG, Retail, Technology, Healthcare and Telecom
spread across various geogra
Manage team and responsible for accurate and timely preparation of Short Term, Mid-Term and Long-Term
Forecast using best fit forecast model and WF Mgt Tool
Lead and drive execution on projects requiring quantitative analysis, statistical modeling, financial modeling,
generation of data driven insights or data enrichment, including integration, consolidation, cleansing and
structuring of data
Assess business requirements and propose solutions for business. Design and build Analytics solutions with
the team and provide insights and recommendations to the business based on projects outputs
Collaborate with global executive and leadership team; take ownership in maintaining high quality standards
of client deliverables
Consulting for internal groups, Clients, prospective Clients, or as needed to generate revenue for Workforce
Management Function
Manage client relationship across all levels during engagement execution and lead Client meetings to present
project deliverables
",No_Label
"Since Aug'17 to Dec'17: Vertex Customer Management India Private Limited (transitioned from Firstsource Solutions
Ltd. with continuity of service post acquisition), Mumbai as Deputy General Manager - Workforce Management
(http://www.vertexgroupindia.com)
",Work_Experience
"Key Result Areas:
",No_Label
"O
",No_Label
"O
",No_Label
"O
",No_Label
"O
",No_Label
"O
",No_Label
"As Deputy General Manager - Workforce Management/ Financial Lead
Led the Workforce Management Function and Financial Operations for the organization and support the key
business verticals BFSI and Telecom spread across various centers in India
Led a team of 120+ Workforce Planning Professionals for spearheading WFM & Finance functions for 15000+
employees spread across 12 different centres / cities in India; rendered WFM support for:
Direct strategic team designed for running core initiatives like Center of Excellence (COE), RFP/RFI and
WEM
transition for the organization
Worked closely and assist the CEO in designing strategic plan to meet near term and long-term business
objectives
Formulated plans & solutions for strategic issues that impact the Contact Centre and giving recommendations on:
Optimizing Operating Model for the Contact Centre around Headcount, Seats, Various Licenses, Spans &
Structure
Bringing efficiency in the customer service structure by skill set mapping, realignment, differential staffing
strategies / models
Implementing changes or improvements to current business policies, and procedures to achieve the larger
business goals
Ensuring & optimising near-term effectiveness by giving feasible suggestions to the Operations Team
Analyzes business operations, trends , cost , revenue and financial commitments to project future revenues and
expenses /business process optimization
Report to Senior Leadership regarding the finances of the organisation and segments
Direct preparation of studies , reports and analyses in areas such as budgets , forecasts , financial reporting of
P&L, cash flow projections
Assisting the business with analytics like CBA to aid quick decision making
Management of both the Revenue Assurance and Collection Team; steered efforts towards :
Developing and Implementing end to end control methodology for the organization relating to revenue streams
Responsible to improve end to end assurance of cost and revenue from source through billing , invoicing
, reconciliation and cash collections
Monthly reporting of Client aged receivable
Prompt Cash Collections
Provide month end reporting on revenue accruals and provisions
Optimize and recommend pricing strategies for prospect Clients
Ensured key metrics such as Cost per Transaction, Cost per Hire and Revenue per FTE are in place to drive commercial
efficiencies in the business
",No_Label
"O
",No_Label
"O
",No_Label
"O
",No_Label
"O
",No_Label
"O
",No_Label
"O O
",No_Label
"O
",No_Label
"Jan'04-Jul’17: Firstsource Solutions Ltd., Mumbai as Deputy General Manager - Workforce Management
(http://www.Firstsource.com - erstwhile ICICI OneSource Ltd.)
Growth Path: Joined as Resource. Coordinator - WFM and rose to the position of Deputy General Manager - Workforce
Management in July'15
",Work_Experience
"Key Result Areas:
",No_Label
"O
",No_Label
"O
",No_Label
"O
",No_Label
"As Deputy General Manager - Workforce Management
July'15 - July'17
Led a team of 60+ Workforce Planning Professionals for spearheading WFM & Planning functions for a leading Indian
Telecom Service Provider (Airtel) & (Vodafone) client with 6500+ employees spread across 9 different centres / cities
in India; rendered WEM support for:
Around 65 different sub-lines of business under Airtel entailing Planning, Dialer Management & Advanced Analytics
for businesses across various contact types like In-bound, Out-bound, E-Mail & other Back-End Transaction
Processing
Managed Centre of Excellence (COE) Team The In-House Centralized Team of 30 Trained Professionals for
supporting all Firstsource (FSL) centres across the globe with accurate forecasts, schedules and short term capacity
plans
Worked in close coordination with the:
BA Team & providing inputs on Annual Operating Budget, Quarterly Forecast & Monthly Revenue Projections for
FSL Centres PAN India
Clients & Internal Teams to understand the various factors influencing the business volumes (drivers) and using
the information to build strategic staffing plans and CRM Team to plan for growth and new business acquisitions
(ECEB & ECNB)
Functioned as the owner of Capacity Plan for all centres rendered strategic leadership & guidance on:
Striking a right balance between utilization & customer satisfaction by monitoring productivity, cost &
opportunity loses
Providing recommendations on process improvement and staffing plans
Facilitating MIS, reporting & automation
Conducting Process Compliance Audits and setting new processes
Managing New Transitions / Process Documentation / Implementation
Assisting the business with advanced analytics like CBA to aid quick decision making
",Work_Experience
"O
",No_Label
"O
",No_Label
"ооооо
",No_Label
"O
",No_Label
"O
",No_Label
"O
",No_Label
